area_code,daynight_ratio,area_name
01100,100.37821,札幌市
01101,162.69279,札幌市中央区
01102,95.93896,札幌市北区
01103,94.61155,札幌市東区
01104,98.57814,札幌市白石区
01105,88.75976,札幌市豊平区
01106,87.89999,札幌市南区
01107,89.47785,札幌市西区
01108,91.88601,札幌市厚別区
01109,85.06585,札幌市手稲区
01110,85.0051,札幌市清田区
01202,102.79308,函館市
01203,101.94301,小樽市
01204,100.62632,旭川市
01205,109.37288,室蘭市
01206,100.56712,釧路市
01207,103.91373,帯広市
01208,99.87956,北見市
01209,102.95149,夕張市
01210,96.71712,岩見沢市
01211,101.8246,網走市
01212,101.45808,留萌市
01213,100.23967,苫小牧市
01214,100.31061,稚内市
01215,98.63686,美唄市
01216,97.92859,芦別市
01217,89.56779,江別市
01218,104.09725,赤平市
01219,99.93942,紋別市
01220,100.04017,士別市
01221,100.54048,名寄市
01222,100.85941,三笠市
01223,100.55355,根室市
01224,103.6488,千歳市
01225,97.77384,滝川市
01226,104.46479,砂川市
01227,89.95816,歌志内市
01228,101.2415,深川市
01229,102.79037,富良野市
01230,86.54912,登別市
01231,94.57117,恵庭市
01233,95.30219,伊達市
01234,98.3865,北広島市
01235,105.26325,石狩市
01236,90.28454,北斗市
01303,99.18393,当別町
01304,105.31691,新篠津村
01331,97.12417,松前町
01332,96.83401,福島町
01333,101.39695,知内町
01334,99.29624,木古内町
01337,85.93172,七飯町
01343,98.10696,鹿部町
01345,101.21033,森町
01346,100.31301,八雲町
01347,102.05872,長万部町
01361,107.32299,江差町
01362,90.73011,上ノ国町
01363,102.12398,厚沢部町
01364,89.32412,乙部町
01367,100.96654,奥尻町
01370,97.49467,今金町
01371,100.08262,せたな町
01391,93.72915,島牧村
01392,101.75327,寿都町
01393,99.48086,黒松内町
01394,96.46913,蘭越町
01395,98.42678,ニセコ町
01396,104.2796,真狩村
01397,120.0839,留寿都村
01398,98.51787,喜茂別町
01399,102.85535,京極町
01400,104.4147,倶知安町
01401,92.93059,共和町
01402,93.95798,岩内町
01403,173.85658,泊村
01404,92.03187,神恵内村
01405,94.08983,積丹町
01406,97.45922,古平町
01407,103.83076,仁木町
01408,97.04187,余市町
01409,110.79393,赤井川村
01423,86.46398,南幌町
01424,106.48572,奈井江町
01425,90.97442,上砂川町
01427,100.22582,由仁町
01428,100.57783,長沼町
01429,100.28354,栗山町
01430,108.0839,月形町
01431,100.50378,浦臼町
01432,92.72434,新十津川町
01433,99.74118,妹背牛町
01434,95.30442,秩父別町
01436,102.69189,雨竜町
01437,100.30288,北竜町
01438,101.38321,沼田町
01452,87.43232,鷹栖町
01453,82.16554,東神楽町
01454,90.4769,当麻町
01455,89.01244,比布町
01456,99.05914,愛別町
01457,106.15727,上川町
01458,101.1096,東川町
01459,99.1644,美瑛町
01460,98.66063,上富良野町
01461,95.83744,中富良野町
01462,106.45793,南富良野町
01463,112.2213,占冠村
01464,97.21913,和寒町
01465,97.057,剣淵町
01468,102.62193,下川町
01469,101.63125,美深町
01470,111.53846,音威子府村
01471,100.8489,中川町
01472,104.19672,幌加内町
01481,95.50812,増毛町
01482,97.63189,小平町
01483,100.5513,苫前町
01484,100.0,羽幌町
01485,98.35661,初山別村
01486,98.71703,遠別町
01487,102.89855,天塩町
01511,103.20417,猿払村
01512,101.70059,浜頓別町
01513,97.43882,中頓別町
01514,99.14662,枝幸町
01516,98.47065,豊富町
01517,102.12766,礼文町
01518,101.73686,利尻町
01519,99.74883,利尻富士町
01520,104.16837,幌延町
01543,96.53134,美幌町
01544,105.09185,津別町
01545,102.77165,斜里町
01546,97.06231,清里町
01547,97.52212,小清水町
01549,96.70588,訓子府町
01550,100.35576,置戸町
01552,103.45021,佐呂間町
01555,98.95559,遠軽町
01559,101.60329,湧別町
01560,100.69827,滝上町
01561,103.70939,興部町
01562,97.40143,西興部村
01563,100.26519,雄武町
01564,101.54891,大空町
01571,94.54673,豊浦町
01575,115.9822,壮瞥町
01578,101.52762,白老町
01581,111.14097,厚真町
01584,103.6348,洞爺湖町
01585,105.86647,安平町
01586,101.0121,むかわ町
01601,98.77201,日高町
01602,101.22295,平取町
01604,96.06581,新冠町
01607,102.55449,浦河町
01608,94.24524,様似町
01609,99.67387,えりも町
01610,100.60264,新ひだか町
01631,86.1227,音更町
01632,112.03523,士幌町
01633,104.97377,上士幌町
01634,103.50054,鹿追町
01635,100.36578,新得町
01636,103.88582,清水町
01637,104.86908,芽室町
01638,107.31215,中札内村
01639,104.14443,更別村
01641,105.28059,大樹町
01642,98.93314,広尾町
01643,85.95291,幕別町
01644,97.67509,池田町
01645,103.70836,豊頃町
01646,101.87551,本別町
01647,101.05866,足寄町
01648,101.12812,陸別町
01649,99.89835,浦幌町
01661,92.99148,釧路町
01662,98.57844,厚岸町
01663,101.00643,浜中町
01664,100.31,標茶町
01665,101.13431,弟子屈町
01667,102.80189,鶴居村
01668,104.49926,白糠町
01691,103.69279,別海町
01692,97.28275,中標津町
01693,104.17779,標津町
01694,101.1819,羅臼町
02201,101.45838,青森市
02202,107.22559,弘前市
02203,104.56894,八戸市
02204,93.49551,黒石市
02205,101.15982,五所川原市
02206,100.17815,十和田市
02207,103.68942,三沢市
02208,98.58274,むつ市
02209,95.23952,つがる市
02210,88.87435,平川市
02301,89.99282,平内町
02303,96.37155,今別町
02304,90.12431,蓬田村
02307,100.01613,外ヶ浜町
02321,95.1511,鰺ヶ沢町
02323,96.40527,深浦町
02343,91.37809,西目屋村
02361,85.86205,藤崎町
02362,81.44895,大鰐町
02367,80.91995,田舎館村
02381,87.65698,板柳町
02384,87.01464,鶴田町
02387,93.38518,中泊町
02401,94.13635,野辺地町
02402,95.76039,七戸町
02405,86.61614,六戸町
02406,100.22051,横浜町
02408,90.40379,東北町
02411,150.70235,六ヶ所村
02412,84.84436,おいらせ町
02423,107.65257,大間町
02424,96.00424,東通村
02425,86.69028,風間浦村
02426,92.83054,佐井村
02441,98.59891,三戸町
02442,90.31721,五戸町
02443,97.80338,田子町
02445,84.64941,南部町
02446,75.52941,階上町
02450,93.30411,新郷村
03201,105.7363,盛岡市
03202,102.64662,宮古市
03203,103.77319,大船渡市
03205,96.05945,花巻市
03206,103.87013,北上市
03207,101.1868,久慈市
03208,97.10997,遠野市
03209,99.85031,一関市
03210,95.7435,陸前高田市
03211,107.45612,釜石市
03213,102.2491,二戸市
03214,95.47334,八幡平市
03215,96.66812,奥州市
03216,86.29897,滝沢市
03301,92.92739,雫石町
03302,95.94893,葛巻町
03303,91.49138,岩手町
03321,81.557,紫波町
03322,103.96705,矢巾町
03366,98.60544,西和賀町
03381,115.83517,金ケ崎町
03402,88.24352,平泉町
03441,93.32168,住田町
03461,93.83451,大槌町
03482,92.48705,山田町
03483,102.02215,岩泉町
03484,97.74957,田野畑村
03485,94.20394,普代村
03501,93.45334,軽米町
