area_code,total_pop,did_pop,area_name,did_ratio
01100,1973395,1916037,札幌市,97.09
01101,248680,246573,札幌市中央区,99.15
01102,289323,280178,札幌市北区,96.84
01103,265379,255174,札幌市東区,96.15
01104,211835,208075,札幌市白石区,98.23
01105,225298,224027,札幌市豊平区,99.44
01106,135777,116193,札幌市南区,85.58
01107,217040,214749,札幌市西区,98.94
01108,125083,123339,札幌市厚別区,98.61
01109,142625,138048,札幌市手稲区,96.79
01110,112355,109681,札幌市清田区,97.62
01202,251084,216044,函館市,86.04
01203,111299,92939,小樽市,83.5
01204,329306,306545,旭川市,93.09
01205,82383,68514,室蘭市,83.17
01206,165077,148153,釧路市,89.75
01207,166536,151326,帯広市,90.87
01208,115480,77537,北見市,67.14
01210,79306,47022,岩見沢市,59.29
01211,35759,23129,網走市,64.68
01212,20114,14870,留萌市,73.93
01213,170113,142122,苫小牧市,83.55
01214,33563,26159,稚内市,77.94
01215,20413,9671,美唄市,47.38
01216,12555,5364,芦別市,42.72
01217,121056,110103,江別市,90.95
01219,21215,14294,紋別市,67.38
01220,17858,10468,士別市,58.62
01221,27282,17889,名寄市,65.57
01223,24636,14007,根室市,56.86
01224,97950,84325,千歳市,86.09
01225,39490,28615,滝川市,72.46
01226,16486,5033,砂川市,30.53
01228,20039,9591,深川市,47.86
01229,21131,13246,富良野市,62.69
01230,46391,34190,登別市,73.7
01231,70331,64284,恵庭市,91.4
01233,32826,20922,伊達市,63.74
01234,58171,50263,北広島市,86.41
01235,56869,44733,石狩市,78.66
01236,44302,28056,北斗市,63.33
01303,15916,5436,当別町,34.15
01337,27686,12644,七飯町,45.67
01346,15826,6799,八雲町,42.96
01400,15129,10117,倶知安町,66.87
01402,11648,8753,岩内町,75.15
01408,18000,8100,余市町,45.0
01429,11272,6408,栗山町,56.85
01460,10348,5542,上富良野町,53.56
01543,18697,12493,美幌町,66.82
01555,19241,7880,遠軽町,40.95
01610,21517,11042,新ひだか町,51.32
01631,43576,35028,音更町,80.38
01637,18048,11919,芽室町,66.04
01643,25766,15909,幕別町,61.74
01661,19105,10191,釧路町,53.34
01692,23010,9295,中標津町,40.4
02201,275192,219275,青森市,79.68
02202,168466,115326,弘前市,68.46
02203,223415,157255,八戸市,70.39
02204,31946,15037,黒石市,47.07
02205,51415,14552,五所川原市,28.3
02206,60378,26838,十和田市,44.45
02207,39152,21981,三沢市,56.14
02208,54103,16759,むつ市,30.98
03201,289731,235450,盛岡市,81.27
03202,50369,10781,宮古市,21.4
03205,93193,18282,花巻市,19.62
03206,93045,32129,北上市,34.53
03207,33043,7017,久慈市,21.24
03209,111932,19247,一関市,17.2
03211,32078,12730,釜石市,39.68
03215,112937,25043,奥州市,22.17
03216,55579,26837,滝沢市,48.29
03322,28056,12730,矢巾町,45.37
04100,1096704,1004465,仙台市,91.59
04101,311590,283507,仙台市青葉区,90.99
04102,196732,186808,仙台市宮城野区,94.96
04103,141475,136294,仙台市若林区,96.34
04104,234758,218060,仙台市太白区,92.89
04105,212149,179796,仙台市泉区,84.75
04202,140151,79830,石巻市,56.96
04203,52203,46734,塩竈市,89.52
04205,61147,5790,気仙沼市,9.47
04206,32758,12004,白石市,36.64
04207,78718,55181,名取市,70.1
04208,27976,5784,角田市,20.67
04209,62827,59831,多賀城市,95.23
04211,44068,32931,岩沼市,74.73
04212,76037,9968,登米市,13.11
04214,39098,20248,東松島市,51.79
04215,127330,46935,大崎市,36.86
04216,51651,36721,富谷市,71.09
04321,23571,17101,大河原町,72.55
04323,38271,23663,柴田町,61.83
04361,33087,5267,亘理町,15.92
04401,13323,6592,松島町,49.48
04404,18132,7307,七ヶ浜町,40.3
04406,35182,11721,利府町,33.32
04421,28786,20905,大和町,72.62
05201,307672,245611,秋田市,79.83
05202,49968,17269,能代市,34.56
05203,85555,11205,横手市,13.1
05204,69237,24063,大館市,34.75
05207,42091,9641,湯沢市,22.91
05210,74707,16115,由利本荘市,21.57
05212,77657,16795,大仙市,21.63
06201,247590,184382,山形市,74.47
06202,81252,43470,米沢市,53.5
06203,122347,57238,鶴岡市,46.78
06204,100273,58673,酒田市,58.51
06205,34432,17737,新庄市,51.51
06206,40189,22118,寒河江市,55.03
06207,29110,15611,上山市,53.63
06208,22516,6958,村山市,30.9
06209,26543,10538,長井市,39.7
06210,62140,39650,天童市,63.81
06211,47682,16300,東根市,34.18
06213,30420,6308,南陽市,20.74
06301,13725,7235,山辺町,52.71
06321,17641,6187,河北町,35.07
07201,282693,185024,福島市,65.45
