school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja
札幌西高校,71,道立,共学,普通,札幌市中央区,hokkaido,北海道
札幌南高校,71,道立,共学,普通,札幌市中央区,hokkaido,北海道
札幌北高校,71,道立,共学,普通,札幌市北区,hokkaido,北海道
釧路湖陵高校,68,道立,共学,理数,釧路市,hokkaido,北海道
札幌東高校,68,道立,共学,普通,札幌市白石区,hokkaido,北海道
札幌国際情報高校,67,道立,共学,普通,札幌市北区,hokkaido,北海道
室蘭栄高校,67,道立,共学,理数,室蘭市,hokkaido,北海道
旭川東高校,66,道立,共学,普通,旭川市,hokkaido,北海道
帯広柏葉高校,66,道立,共学,普通,帯広市,hokkaido,北海道
函館中部高校,66,道立,共学,理数,函館市,hokkaido,北海道
函館中部高校,65,道立,共学,普通,函館市,hokkaido,北海道
札幌国際情報高校,64,道立,共学,国際文化,札幌市北区,hokkaido,北海道
滝川高校,64,道立,共学,理数,滝川市,hokkaido,北海道
北見北斗高校,64,道立,共学,理数,北見市,hokkaido,北海道
旭川北高校,63,道立,共学,普通,旭川市,hokkaido,北海道
札幌月寒高校,63,道立,共学,普通,札幌市豊平区,hokkaido,北海道
北見北斗高校,63,道立,共学,普通,北見市,hokkaido,北海道
札幌啓成高校,62,道立,共学,理数,札幌市厚別区,hokkaido,北海道
帯広三条高校,62,道立,共学,普通,帯広市,hokkaido,北海道
北広島高校,62,道立,共学,普通,北広島市,hokkaido,北海道
旭川西高校,61,道立,共学,普通,旭川市,hokkaido,北海道
旭川西高校,60,道立,共学,理数,旭川市,hokkaido,北海道
岩見沢東高校,60,道立,共学,普通,岩見沢市,hokkaido,北海道
釧路湖陵高校,60,道立,共学,普通,釧路市,hokkaido,北海道
札幌手稲高校,60,道立,共学,普通,札幌市手稲区,hokkaido,北海道
札幌北陵高校,60,道立,共学,普通,札幌市北区,hokkaido,北海道
室蘭栄高校,60,道立,共学,普通,室蘭市,hokkaido,北海道
小樽潮陵高校,60,道立,共学,普通,小樽市,hokkaido,北海道
