school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja,area_code,daynight_ratio
札幌西高校,71,道立,共学,普通,札幌市中央区,hokkaido,北海道,01101,162.69279
札幌南高校,71,道立,共学,普通,札幌市中央区,hokkaido,北海道,01101,162.69279
札幌北高校,71,道立,共学,普通,札幌市北区,hokkaido,北海道,01102,95.93896
釧路湖陵高校,68,道立,共学,理数,釧路市,hokkaido,北海道,01206,100.56712
札幌東高校,68,道立,共学,普通,札幌市白石区,hokkaido,北海道,01104,98.57814
札幌国際情報高校,67,道立,共学,普通,札幌市北区,hokkaido,北海道,01102,95.93896
室蘭栄高校,67,道立,共学,理数,室蘭市,hokkaido,北海道,01205,109.37288
旭川東高校,66,道立,共学,普通,旭川市,hokkaido,北海道,01204,100.62632
帯広柏葉高校,66,道立,共学,普通,帯広市,hokkaido,北海道,01207,103.91373
函館中部高校,66,道立,共学,理数,函館市,hokkaido,北海道,01202,102.79308
函館中部高校,65,道立,共学,普通,函館市,hokkaido,北海道,01202,102.79308
札幌国際情報高校,64,道立,共学,国際文化,札幌市北区,hokkaido,北海道,01102,95.93896
滝川高校,64,道立,共学,理数,滝川市,hokkaido,北海道,01225,97.77384
北見北斗高校,64,道立,共学,理数,北見市,hokkaido,北海道,01208,99.87956
旭川北高校,63,道立,共学,普通,旭川市,hokkaido,北海道,01204,100.62632
札幌月寒高校,63,道立,共学,普通,札幌市豊平区,hokkaido,北海道,01105,88.75976
北見北斗高校,63,道立,共学,普通,北見市,hokkaido,北海道,01208,99.87956
札幌啓成高校,62,道立,共学,理数,札幌市厚別区,hokkaido,北海道,01108,91.88601
帯広三条高校,62,道立,共学,普通,帯広市,hokkaido,北海道,01207,103.91373
北広島高校,62,道立,共学,普通,北広島市,hokkaido,北海道,01234,98.3865
旭川西高校,61,道立,共学,普通,旭川市,hokkaido,北海道,01204,100.62632
旭川西高校,60,道立,共学,理数,旭川市,hokkaido,北海道,01204,100.62632
岩見沢東高校,60,道立,共学,普通,岩見沢市,hokkaido,北海道,01210,96.71712
釧路湖陵高校,60,道立,共学,普通,釧路市,hokkaido,北海道,01206,100.56712
札幌手稲高校,60,道立,共学,普通,札幌市手稲区,hokkaido,北海道,01109,85.06585
札幌北陵高校,60,道立,共学,普通,札幌市北区,hokkaido,北海道,01102,95.93896
室蘭栄高校,60,道立,共学,普通,室蘭市,hokkaido,北海道,01205,109.37288
小樽潮陵高校,60,道立,共学,普通,小樽市,hokkaido,北海道,01203,101.94301
帯広緑陽高校,60,道立,共学,普通,帯広市,hokkaido,北海道,01207,103.91373
大麻高校,60,道立,共学,普通,江別市,hokkaido,北海道,01217,89.56779
札幌国際情報高校,59,道立,共学,グローバルビジネス,札幌市北区,hokkaido,北海道,01102,95.93896
札幌国際情報高校,59,道立,共学,理数工学,札幌市北区,hokkaido,北海道,01102,95.93896
苫小牧東高校,59,道立,共学,普通,苫小牧市,hokkaido,北海道,01213,100.23967
札幌啓成高校,58,道立,共学,普通,札幌市厚別区,hokkaido,北海道,01108,91.88601
旭川永嶺高校,57,道立,共学,普通,旭川市,hokkaido,北海道,01204,100.62632
千歳高校,56,道立,共学,普通,千歳市,hokkaido,北海道,01224,103.6488
美唄聖華高校,56,道立,共学,衛生看護,美唄市,hokkaido,北海道,01215,98.63686
北見柏陽高校,56,道立,共学,普通,北見市,hokkaido,北海道,01208,99.87956
札幌稲雲高校,55,道立,共学,普通,札幌市手稲区,hokkaido,北海道,01109,85.06585
網走南ヶ丘高校,55,道立,共学,普通,網走市,hokkaido,北海道,01211,101.8246
石狩南高校,54,道立,共学,普通,石狩市,hokkaido,北海道,01235,105.26325
滝川高校,54,道立,共学,普通,滝川市,hokkaido,北海道,01225,97.77384
旭川商業高校,53,道立,共学,会計,旭川市,hokkaido,北海道,01204,100.62632
旭川商業高校,53,道立,共学,国際ビジネス,旭川市,hokkaido,北海道,01204,100.62632
旭川商業高校,53,道立,共学,情報処理,旭川市,hokkaido,北海道,01204,100.62632
旭川商業高校,53,道立,共学,流通ビジネス,旭川市,hokkaido,北海道,01204,100.62632
